! SHMS reconstruction optics
! made with Cosy from `shms-2011-26cm-monte_q2_m015
! order: 5
 ------------------------------------------------------------------------------
  0.279368530    -0.582514317E-01 0.331013635E-01 0.631935732     10000
  -1.44191289     0.136431416E-01-0.775271225E-02-0.148006468     01000
   0.00000000    -0.488110318     0.244185629      0.00000000     00100
   0.00000000     -1.38743595     -1.35462836      0.00000000     00010
  0.301766118    -0.801820255E-01 0.455634187E-01 0.869847925     00001
 -0.502703242     0.143620720    -0.857075273E-01 -1.19773574     20000
   2.61266550    -0.730134676     0.457061349      8.13715139     11000
 -0.142256100    -0.626004441E-01-0.732216722E-01-0.340110589     02000
  0.760918263E-02  3.25320566    -0.619896243     0.116690746E-01 10100
 -0.392734947E-01-0.866499541     0.216819918    -0.602279327E-01 01100
  0.127536670E-02 0.172141589E-02-0.140262588E-02 0.303588873E-02 00200
 -0.242533933E-01 -34.2576236      6.34267288    -0.127927389E-01 10010
  0.125179741      9.03613011     -1.47463566     0.660275339E-01 01010
  0.646706168E-01-0.892869681E-01 0.256809564E-01 0.159492421     00110
  -1.51907423     0.326279500    -0.202550466     -2.68302718     10001
   3.75144418    -0.953105082     0.629927380      11.3361331     01001
  0.120396664E-01  4.47460996    -0.851269636     0.236921164E-01 00101
 -0.383275851     0.392048688    -0.707186862E-01-0.432576094     00020
 -0.474570526E-01 -47.3290256      8.82923562    -0.755158924E-01 00011
  -1.13850509     0.181066278    -0.116600077     -1.42378572     00002
   2.29436695    -0.604524400     0.360840172      4.95641098     30000
  -20.5603291      5.59049952     -3.35640095     -51.5441133     21000
   50.3448233     -14.3961353      8.65354156      157.815227     12000
  -27.0324066      8.47933800     -4.85583649     -92.2408544     03000
 -0.633736754E-01 -13.3689226      2.57043093    -0.115583916     20100
  0.386926470      80.4593194     -15.0872210     0.766186808     11100
 -0.310160753     -94.3844958      17.2424406    -0.877516534     02100
  0.537097713    -0.829516983E-01 0.865901301E-01  1.66757447     10200
  -2.79795264     0.487608364    -0.397912740     -8.65919244     01200
  0.347372631E-04 -2.18869556     0.403607352     0.532713872E-04 00300
  0.364706290      139.669926     -26.7497645     0.658297636     20010
  -2.01336850     -830.679393      155.589406     -3.71753053     11010
  0.680393494      985.648312     -184.303008      1.65304725     02010
  -11.5474680      2.49406479     -1.88285144     -35.2106472     10110
   58.9226758     -13.0181226      8.83080043      180.553767     01110
  0.165071765E-02  69.7234370     -13.0417194     0.264285608E-02 00210
   9.32529872     -2.07049917      1.26620867      16.9896954     20001
  -55.0487582      12.9098027     -7.92987500     -116.958434     11001
   66.8667428     -17.5664079      10.6639038      193.179958     02001
 -0.197214642     -31.0339752      6.02549285    -0.353581211     10101
  0.583666006      98.1350764     -18.6282915      1.10825854     01101
  0.691602156    -0.152710958E-01 0.777918174E-01  1.64810468     00201
   61.3869855     -16.9521283      10.1292791      184.871327     10020
  -312.463554      83.5218853     -48.9842528     -944.866835     01020
 -0.160536974E-01 -740.079233      139.450965    -0.189706006E-01 00120
   1.14592385      326.859871     -63.2069093      2.13817275     10011
  -3.06854475     -1019.06278      192.653862     -5.86893608     01011
  -15.1707427      1.52914192     -1.78261042     -35.5657131     00111
   12.7322231     -2.40641047      1.51722565      20.1823741     10002
  -38.0485475      7.62843362     -4.81496351     -68.2876753     01002
 -0.153008881     -18.9220222      3.69474663    -0.260231862     00102
  0.332741128E-01  2609.76660     -494.263050     0.175508240E-01 00030
   81.9403455     -14.3181007      10.0186116      190.676643     00021
  0.899401482      201.109274     -39.2189682      1.64285600     00012
   5.82387712    -0.946312789     0.619229163      8.30295945     00003
  -12.1416457      3.04944790     -1.82899613     -24.6996779     40000
   148.151854     -38.1364328      22.9535763      329.231529     31000
  -606.671922      161.088217     -97.2532141     -1515.09679     22000
   929.266283     -255.771733      154.667945      2693.87786     13000
  -393.349140      109.511606     -66.2353822     -1198.40515     04000
  0.501227323      55.3878287     -10.7801918     0.919042516     30100
  -4.66244857     -498.922480      96.0050840     -9.21010226     21100
   12.6390531      1196.52808     -227.041887      27.6967979     12100
  -9.89578275     -523.554661      98.9825892     -23.8849012     03100
  -3.62577736     0.431441291E-01-0.460026975     -8.32492075     20200
   26.3544085    -0.983172640      3.30365149      66.2150369     11200
  -39.2443496      3.11374146     -5.45723686     -119.834061     02200
  0.423581307E-01  12.5005092     -2.40670953     0.810612257E-01 10300
 -0.220227068     -47.5952691      9.05059948    -0.420919689     01300
  0.292116966E-02-0.114953012E-01-0.481170377E-02 0.876244344E-02 00400
  -3.21161565     -582.392508      112.857867     -5.84313513     30010
   28.4595542      5192.36501     -993.951778      55.4424670     21010
  -71.9516024     -12279.4216      2313.92042     -152.329582     12010
   54.4842057      5086.50501     -949.244533      112.125288     03010
   76.3048219     -6.57226036      10.3786516      174.647869     20110
  -546.392172      61.9332290     -74.5162274     -1369.60925     11110
   794.461581     -129.378492      121.481111      2427.29487     02110
  -1.18379590     -399.490868      76.6798937     -2.20757416     10210
   6.05509756      1476.15437     -279.030759      11.3064877     01210
  0.632550747E-01 0.307024854     0.206496958     0.210197974     00310
  -63.5658053      14.2462996     -8.69105030     -116.501599     30001
   579.681972     -134.107396      82.0294863      1161.00646     21001
  -1579.11442      383.212304     -234.491145     -3580.47251     12001
   1207.01065     -315.749206      192.468650      3330.65001     03001
   2.18173419      198.283082     -38.6478071      3.85281431     20101
  -13.1965934     -1218.85641      234.996854     -25.1501381     11101
   17.5149715      1532.56745     -290.696461      37.3477087     02101
  -9.67583197    -0.650057517    -0.931691428     -18.9266236     10201
   35.6249773     0.847981262      3.50563790      74.4243977     01201
  0.639076860E-01  13.8371557     -2.66981418     0.131689508     00301
  -395.869730      63.0351265     -57.4127002     -904.097086     20020
   2810.07029     -535.174397      414.600336      7026.35780     11020
  -4003.90105      1003.67402     -670.096888     -12246.4564     02020
   10.5151378      4210.70575     -804.863734      18.9879067     10120
  -53.4700771     -15202.2871      2855.97098     -96.6658003     01120
  -3.04045282     -2.05716222     -3.18279684     -9.45170292     00220
  -14.0723758     -2093.34990      406.618229     -25.1073623     20011
   80.5243893      12734.7496     -2445.32506      155.228058     11011
  -98.8579257     -15797.9890      2978.28964     -213.498306     02011
   204.936700     -2.49870016      21.9686884      400.197250     10111
  -744.092343      39.8144606     -81.9728390     -1556.70288     01111
  -1.81334855     -449.628881      86.5606019     -3.67260571     00211
  -125.755234      25.3400960     -15.7614803     -210.543771     20002
   764.699557     -159.657224      99.4538107      1395.80910     11002
  -1039.84826      230.162414     -143.133475     -2142.70543     02002
   3.17290573      242.271029     -47.2388908      5.32949226     10102
  -9.43832007     -758.137474      146.471256     -17.1962994     01102
  -6.31016541    -0.880656371    -0.455692318     -10.9133033     00202
  -29.5024400     -14669.4587      2790.64863     -50.7169042     10030
   149.796107      52001.4964     -9704.60746      257.505547     01030
   29.4499751     -4.56664774      20.8235119      90.0073655     00130
  -1070.48474      95.8973299     -126.046608     -2088.78233     10021
   3858.15064     -505.604201      470.261162      8075.85144     01021
   16.3742976      4811.83858     -922.913883      32.6591144     00121
  -20.6286133     -2568.82466      499.704447     -35.4156826     10012
   57.7434796      7949.83277     -1531.22968      108.174933     01012
   134.778509      7.18102059      11.4105412      232.251012     00112
  -111.638588      20.3351485     -12.9253192     -172.601501     10003
   340.924580     -64.4092760      40.9494241      572.953441     01003
   1.54146978      101.134387     -19.7000389      2.45019686     00103
  -82.6556016      58.2770867     -48.1628244     -250.618074     00040
  -46.9090404     -17009.0420      3247.63954     -91.7202931     00031
  -709.807241      21.1931030     -68.4979500     -1219.92395     00022
  -10.1173083     -1077.59580      209.692161     -16.5668737     00013
  -37.5478976      6.20651913     -4.03967577     -54.0424296     00004
   70.7750054     -17.3174670      10.4177611      140.275789     50000
  -1091.46695      272.471261     -164.289998     -2306.77896     41000
   6243.72090     -1597.06891      964.965884      14278.5722     32000
  -16134.2598      4249.79716     -2571.83562     -40675.0575     23000
   18080.9067     -4924.08586      2982.44836      51189.5652     14000
  -6622.44259      1852.21446     -1122.80648     -20341.4892     05000
  -3.79046472     -284.394077      55.3841923     -6.95778643     40100
   46.8053796      3521.47458     -680.416098      91.1530929     31100
  -197.603135     -14612.1771      2794.51435     -415.386838     22100
   326.422291      22593.1183     -4261.44741      757.379267     13100
  -167.222292     -9693.40912      1792.93736     -440.106279     04100
   26.1447024      1.72701500      2.70989580      55.5796466     30200
  -268.632867     -10.7872661     -28.7447262     -614.251528     21200
   828.572309      3.84217954      94.4091376      2110.45738     12200
  -715.361499      30.5695743     -89.9525268     -2170.35539     03200
 -0.597807939     -87.7446201      17.0344788     -1.14370772     20300
   4.49284171      638.013538     -122.439517      8.92453995     11300
  -7.23549093     -993.687236      187.415704     -15.5576760     02300
   1.08777512     0.307632920     0.126497865      3.03440759     10400
  -5.70243915     -1.24999587    -0.505535769     -15.8571561     01400
  0.207188038E-03-0.917854691     0.158739570     0.391629298E-03 00500
   25.1183820      3003.04981     -582.869718      45.8361864     40010
  -298.366825     -36948.1357      7113.37645     -577.359361     31010
   1192.58509      152353.309     -29024.1253      2488.70515     22010
  -1815.40449     -234597.885      44078.2743     -4165.42095     13010
   805.439173      101532.988     -18762.6179      2066.96535     04010
  -548.283414      3.67843039     -62.9939503     -1165.96907     30110
   5586.38683     -180.688145      663.063415      12780.1697     21110
  -17066.8299      1152.97408     -2154.30779     -43502.5464     12110
   14571.1433     -1647.27910      2017.65662      44256.5788     03110
   16.6641150      2794.30848     -541.400155      31.6912035     20210
  -122.656738     -20054.6658      3840.49225     -242.535973     11210
   190.219672      30816.3355     -5798.18793      409.086201     02210
  -48.7045862     -9.34321681     -5.97471090     -134.927074     10310
   250.501055      34.4696885      24.4308811      695.435919     01310
  0.423104334E-02  57.1160885     -10.4356236     0.850274786E-02 00410
   455.306116     -102.391026      62.4024912      836.851478     40001
  -5606.07194      1289.64578     -787.451139     -10982.8441     31001
   24023.8188     -5693.66937      3480.34468      50978.9918     22001
  -41394.5294      10202.1046     -6235.29784     -97276.7306     13001
   23268.7733     -6023.01968      3674.22667      62506.5965     04001
  -21.2654174     -1364.27535      265.705121     -37.5340834     30101
   194.903889      12738.9523     -2463.45203      364.923374     21101
  -543.822687     -35676.5814      6833.85532     -1098.93090     12101
   446.218794      28201.3697     -5328.47876      996.945955     03101
   101.871354      12.4612812      8.43821476      195.005855     20201
  -698.897214     -61.4461030     -61.7096596     -1428.61958     11201
   1085.56870      47.6751149      105.689108      2454.52142     02201
  -1.74198854     -203.356786      39.5590950     -3.27010776     10301
   6.43005142      758.803753     -146.180048      12.3766522     01301
   1.28432391     0.646442332     0.864436111E-01  3.26817699     00401
   2835.31928     -221.279225      356.748739      6035.66643     30020
  -28772.5206      3015.22198     -3747.92902     -65872.5304     21020
   87443.2131     -12310.4448      12115.8261      223078.499     12020
  -74163.1375      13709.5767     -11222.6709     -225641.379     03020
  -149.578911     -29414.8750      5685.27747     -282.611839     20120
   1078.46888      209110.990     -39950.0768      2119.29287     11120
  -1598.97736     -318075.790      59706.2085     -3434.28802     02120
   798.753489      88.7813982      102.908418      2203.05422     10220
  -4057.61036     -255.904054     -429.793218     -11251.9958     01220
 -0.279625605     -1352.44171      251.498288    -0.528902943     00320
   141.997318      14440.6984     -2804.89625      251.286208     30011
  -1251.03614     -133962.182      25829.7367     -2351.18115     21011
   3308.69759      372582.320     -71135.4292      6718.63598     12011
  -2515.71582     -292820.327      55124.5346     -5646.31558     03011
  -2143.50533     -97.9865307     -203.964554     -4106.48097     20111
   14584.1157      186.855123      1468.97723      29857.3930     11111
  -22421.6257      660.641332     -2468.03328     -50843.0575     02111
   48.9318139      6520.75132     -1266.17323      91.5679816     10211
  -176.598497     -24012.3794      4617.25376     -339.531588     01211
  -58.1810900     -22.5030619     -4.56813881     -146.330383     00311
   1180.83459     -245.264611      151.600955      2028.46949     30002
  -10899.2582      2319.77304     -1435.78102     -19939.1164     21002
   31135.1367     -6853.95385      4242.29129      61694.5992     12002
  -26836.9257      6190.48480     -3823.78323     -58947.0485     03002
